code,name,brand,model,category,main_category,price,cost,image,description,active,sort_order,featured
RO10916,مسكر زاوية  ''1/2 * ''1/2 كروم,بن أمور,B.AMOR020,حنفية,ملحقات,30.0,20.0,RO10916.jpg,,yes,1,yes
VP20483,حوض وجه فوق الرخام أبيض -40*30 سم,ب.أمور,SH-8218A,حوض فوق الرخام,حوض وجه,200.0,103.0,VP20483.jpg,,yes,2,yes
VP20216,حوض وجه فوق الرخام ذهبي -48سم,ب.أمور,G340,حوض فوق الرخام,حوض وجه,300.0,154.0,VP20216.jpg,,yes,3,yes
VP20484,حوض وجه فوق الرخام أبيض 41.5 سم,ب.أمور,SH-8221,حوض فوق الرخام,حوض وجه,200.0,103.0,VP20484.jpg,,yes,4,yes
VP20215,حوض وجه فوق الرخام أبيض -50سم,ب.أمور,8278,حوض فوق الرخام,حوض وجه,225.0,130.0,VP20215.jpg,,yes,5,yes
EG30857,حوض مطبخ جرانيت بيج 80*45 زوجي,ب.أمور,Vienna,حوض مطبخ جرانيت,حوض مطبخ,820.0,545.0,EG30857.jpg,,yes,6,yes
EG30858,حوض مطبخ جرانيت أسود 80*45 زوجي,ب.أمور,Vienna,حوض مطبخ جرانيت,حوض مطبخ,820.0,545.0,EG30858.jpg,,yes,7,yes
EG30859,حوض مطبخ جرانيت رصاصي 80*45 زوجي,ب.أمور,Vienna,حوض مطبخ جرانيت,حوض مطبخ,820.0,545.0,EG30859.jpg,,yes,8,yes
EG30863,حوض مطبخ جرانيت أبيض مطفي79*51 فردي,ب.أمور,Jammel,حوض مطبخ جرانيت,حوض مطبخ,750.0,475.0,EG30863.jpg,,yes,9,no
EG30864,حوض مطبخ جرانيت بيج79*51 فردي,ب.أمور,Jammel,حوض مطبخ جرانيت,حوض مطبخ,750.0,475.0,EG30864.jpg,,yes,10,no
EG30865,حوض مطبخ جرانيت أسود مطفي79*51 فردي,ب.أمور,Jammel,حوض مطبخ جرانيت,حوض مطبخ,750.0,475.0,EG30865.jpg,,yes,11,no
EG30866,حوض مطبخ جرانيت رصاصي79*51 فردي,ب.أمور,Jammel,حوض مطبخ جرانيت,حوض مطبخ,750.0,475.0,EG30866.jpg,,yes,12,no
EG30867,حوض مطبخ جرانيت أبيض مطفي60*45 فردي,ب.أمور,Cedria,حوض مطبخ جرانيت,حوض مطبخ,640.0,425.0,EG30867.jpg,,yes,13,no
EG30868,حوض مطبخ جرانيت بيج60*45 فردي,ب.أمور,Cedria,حوض مطبخ جرانيت,حوض مطبخ,640.0,425.0,EG30868.jpg,,yes,14,no
EG30869,حوض مطبخ جرانيت أسود مطفي60*45 فردي,ب.أمور,Cedria,حوض مطبخ جرانيت,حوض مطبخ,640.0,425.0,EG30869.jpg,,yes,15,no
EG30870,حوض مطبخ جرانيت رصاصي60*45 فردي,ب.أمور,Cedria,حوض مطبخ جرانيت,حوض مطبخ,640.0,425.0,EG30870.jpg,,yes,16,no
EG30871,حوض مطبخ جرانيت رصاصي72*47 فردي,ب.أمور,Nice,حوض مطبخ جرانيت,حوض مطبخ,720.0,480.0,EG30871.jpg,,yes,17,no
EG30872,حوض مطبخ جرانيت أسود مطفي72*47 فردي,ب.أمور,Nice,حوض مطبخ جرانيت,حوض مطبخ,720.0,480.0,EG30872.jpg,,yes,18,no
EG30873,حوض مطبخ جرانيت بيج72*47 فردي,ب.أمور,Nice,حوض مطبخ جرانيت,حوض مطبخ,720.0,480.0,EG30873.jpg,,yes,19,no
EG30874,حوض مطبخ جرانيت أبيض ناصع 72*47 فردي,ب.أمور,Nice,حوض مطبخ جرانيت,حوض مطبخ,720.0,480.0,EG30874.jpg,,yes,20,no
EG30875,حوض مطبخ جرانيت أبيض مطفي72*47 فردي,ب.أمور,Nice,حوض مطبخ جرانيت,حوض مطبخ,720.0,480.0,EG30875.jpg,,yes,21,no
EG30876,حوض مطبخ جرانيت أسود مطفي80*50 فردي,ب.أمور,Zarmdine,حوض مطبخ جرانيت,حوض مطبخ,990.0,635.0,EG30876.jpg,,yes,22,no
EG30877,حوض مطبخ جرانيت بيج80*50 فردي,ب.أمور,Zarmdine,حوض مطبخ جرانيت,حوض مطبخ,990.0,635.0,EG30877.jpg,,yes,23,no
EG30878,حوض مطبخ جرانيت أسود مطفي50*43 فردي,ب.أمور,Tallinn,حوض مطبخ جرانيت,حوض مطبخ,600.0,405.0,EG30878.jpg,,yes,24,no
EG30879,حوض مطبخ جرانيت بيج50*43 فردي,ب.أمور,Tallinn,حوض مطبخ جرانيت,حوض مطبخ,600.0,405.0,EG30879.jpg,,yes,25,no
EG30880,حوض مطبخ جرانيت رصاصي50*43 فردي,ب.أمور,Tallinn,حوض مطبخ جرانيت,حوض مطبخ,600.0,405.0,EG30880.jpg,,yes,26,no
EG30881,حوض مطبخ جرانيت أسود مطفي78*50 فردي,ب.أمور,Sousse,حوض مطبخ جرانيت,حوض مطبخ,880.0,555.0,EG30881.jpg,,yes,27,no
EG30882,حوض مطبخ جرانيت بيج78*50 فردي,ب.أمور,Sousse,حوض مطبخ جرانيت,حوض مطبخ,880.0,555.0,EG30882.jpg,,yes,28,no
EG30883,حوض مطبخ جرانيت رصاصي78*50 فردي,ب.أمور,Sousse,حوض مطبخ جرانيت,حوض مطبخ,880.0,555.0,EG30883.jpg,,yes,29,no
EL10702,حوض مطبخ ستانلس ستيل منظومة بيانو 304 75*46 أسود,بن أمور,7546-B,حوض مطبخ ستانلس ستيل,حوض مطبخ,950.0,600.0,EL10702.jpg,,yes,30,no
EL10884,حوض مطبخ ستانلس ستيل 65*45 أسود,ب.أمور,Monastir,حوض مطبخ ستانلس ستيل,حوض مطبخ,400.0,260.0,EL10884.jpg,,yes,31,no
EL10885,حوض مطبخ ستانلس ستيل 65*45 رصاصي,ب.أمور,Monastir,حوض مطبخ ستانلس ستيل,حوض مطبخ,400.0,255.0,EL10885.jpg,,yes,32,no
EL10886,حوض مطبخ ستانلس ستيل 60*45 رصاصي,ب.أمور,Florence,حوض مطبخ ستانلس ستيل,حوض مطبخ,380.0,245.0,EL10886.jpg,,yes,33,no
EL10887,حوض مطبخ ستانلس ستيل 60*45 أسود,ب.أمور,Florence,حوض مطبخ ستانلس ستيل,حوض مطبخ,420.0,265.0,EL10887.jpg,,yes,34,no
EL10888,حوض مطبخ ستانلس ستيل 80*48 رصاصي,ب.أمور,Siena,حوض مطبخ ستانلس ستيل,حوض مطبخ,680.0,435.0,EL10888.jpg,,yes,35,no
EL10889,حوض مطبخ ستانلس ستيل 80*48 أسود,ب.أمور,Siena,حوض مطبخ ستانلس ستيل,حوض مطبخ,750.0,450.0,EL10889.jpg,,yes,36,no
VS10209,حوض وجه معلق أبيض -60سم,ب.أمور,SH-8388,حوض وجه معلق,حوض وجه,450.0,250.0,VS10209.jpg,,yes,37,no
VS10207,حوض وجه معلق أسود -60سم,ب.أمور,SH-8420-60-B,حوض وجه معلق,حوض وجه,500.0,246.285,VS10207.jpg,,yes,38,no
VS10597,حوض وجه معلق أبيض -60سم,ب.أمور,SH-8604,حوض وجه معلق,حوض وجه,430.0,215.0,VS10597.jpg,,yes,39,no
VS10205,حوض وجه معلق رصاصي -60سم,ب.أمور,SH-8420-60-G,حوض وجه معلق,حوض وجه,500.0,243.087,VS10205.jpg,,yes,40,no
VS10181,حوض وجه معلق أسود,ب.أمور,SH-P128TGL,حوض وجه معلق,حوض وجه,450.0,250.0,VS10181.jpg,,yes,41,no
VS10820,حوض وجه معلق أبيض 36x52,ب.أمور,LT-2002,حوض وجه معلق,حوض وجه,300.0,170.0,VS10820.jpg,,yes,42,no
VS10821,حوض وجه معلق أبيض 42x56,ب.أمور,LT-2021-S,حوض وجه معلق,حوض وجه,350.0,215.0,VS10821.jpg,,yes,43,no
VS10822,حوض وجه معلق أبيض60,ب.أمور,LT-2253,حوض وجه معلق,حوض وجه,450.0,235.0,VS10822.jpg,,yes,44,no
VS10828,حوض وجه معلق أسود -60سم,ب.أمور,LT-2173-MB,حوض وجه معلق,حوض وجه,450.0,295.0,VS10828.jpg,,yes,45,no
MA20902,خلاط حوض المطبخ مولة أسود مطفي,بن أمور,B.AMOR012,خلاط حوض المطبخ سحاب,خلاطات,580.0,385.0,MA20902.jpg,,yes,46,no
MA20903,خلاط حوض المطبخ مولة كروم,بن أمور,B.AMOR018,خلاط حوض المطبخ سحاب,خلاطات,290.0,195.0,MA20903.jpg,,yes,47,no
MA20904,خلاط حوض المطبخ مولة أسود مطفي,بن أمور,B.AMOR019,خلاط حوض المطبخ سحاب,خلاطات,330.0,220.0,MA20904.jpg,,yes,48,no
MA20905,خلاط حوض المطبخ مولة كروم,بن أمور,B.AMOR021,خلاط حوض المطبخ سحاب,خلاطات,590.0,390.0,MA20905.jpg,,yes,49,no
MA20906,خلاط حوض المطبخ مولة أسود لامع,بن أمور,B.AMOR022,خلاط حوض المطبخ سحاب,خلاطات,650.0,430.0,MA20906.jpg,,yes,50,no
MA20907,خلاط حوض المطبخ سحاب كروم,بن أمور,B.AMOR026,خلاط حوض المطبخ سحاب,خلاطات,430.0,285.0,MA20907.jpg,,yes,51,no
MA20910,خلاط حوض المطبخ سحاب ذهبي,بن أمور,B.AMOR027,خلاط حوض المطبخ سحاب,خلاطات,445.0,295.0,MA20910.jpg,,yes,52,no
MA20911,خلاط حوض المطبخ سحاب رصاصي,بن أمور,B.AMOR028,خلاط حوض المطبخ سحاب,خلاطات,470.0,315.0,MA20911.jpg,,yes,53,no
MA20912,خلاط حوض المطبخ سحاب كروم,بن أمور,B.AMOR029,خلاط حوض المطبخ سحاب,خلاطات,280.0,190.0,MA20912.jpg,,yes,54,no
MA20913,خلاط حوض المطبخ سحاب أسود مطفي,بن أمور,B.AMOR031,خلاط حوض المطبخ سحاب,خلاطات,320.0,210.0,MA20913.jpg,,yes,55,no
MA20920,خلاط حوض المطبخ مولة كروم,بن أمور,B.AMOR011,خلاط حوض المطبخ سحاب,خلاطات,550.0,365.0,MA20920.jpg,,yes,56,no
MA20921,خلاط حوض المطبخ سحاب كروم مطفي,بن أمور,B.AMOR034,خلاط حوض المطبخ سحاب,خلاطات,270.0,160.0,MA20921.jpg,,yes,57,no
MA20922,خلاط حوض المطبخ سحاب رصاصي مطفي,بن أمور,B.AMOR035,خلاط حوض المطبخ سحاب,خلاطات,270.0,160.0,MA20922.jpg,,yes,58,no
MA20923,خلاط حوض المطبخ سحاب كروم مطفي,بن أمور,B.AMOR036,خلاط حوض المطبخ سحاب,خلاطات,270.0,160.0,MA20923.jpg,,yes,59,no
ME10921,خلاط حوض المطبخ شجرة ذهبي,بن أمور,B.AMOR024,خلاط حوض المطبخ شجرة,خلاطات,435.0,290.0,ME10921.jpg,,yes,60,no
ME10922,خلاط حوض المطبخ شجرة أسود مطفي,بن أمور,B.AMOR025,خلاط حوض المطبخ شجرة,خلاطات,465.0,310.0,ME10922.jpg,,yes,61,no
ME10920,خلاط حوض المطبخ شجرة كروم,بن أمور,B.AMOR023,خلاط حوض المطبخ شجرة,خلاطات,390.0,260.0,ME10920.jpg,,yes,62,no
ML10893,خلاط حوض وجه كروم,بن أمور,B.AMOR001,خلاط حوض وجه,خلاطات,280.0,160.0,ML10893.jpg,,yes,63,no
